lat,lon,count
40.755,-73.965,18370
40.749,-73.982,18362
40.759,-73.968,18350
40.728,-73.985,18333
40.764,-73.98,18296
40.771,-73.865,18286
40.783,-73.953,18252
40.754,-73.975,18245
40.744,-73.999,18242
40.708,-74.012,18234
40.73,-74.002,18226
40.733,-74,18218
40.756,-73.97,18203
40.736,-73.985,18199
40.761,-73.981,18193
40.763,-73.969,18188
40.768,-73.968,18144
40.773,-73.965,18140
40.783,-73.979,18134
40.76,-73.967,18117
40.785,-73.954,18091
40.706,-74.007,18077
40.734,-73.995,18022
40.773,-73.953,18019
40.786,-73.969,17965
40.759,-73.987,17936
40.748,-73.976,17922
40.725,-73.996,17906
40.777,-73.953,17899
40.755,-73.968,17886
40.771,-73.98,17878
40.755,-73.969,17869
40.752,-74.005,17838
40.73,-73.981,17786
40.756,-73.965,17757
40.788,-73.976,17736
40.759,-73.974,17724
40.764,-73.975,17710
40.775,-73.984,17695
40.765,-73.971,17672
40.759,-73.978,17666
40.769,-73.996,17666
40.763,-73.967,17648
40.743,-73.989,17640
40.725,-73.994,17639
40.758,-73.966,17589
40.761,-73.968,17576
40.747,-73.997,17560
40.789,-73.976,17547
40.78,-73.955,17544
40.778,-73.957,17524
40.784,-73.956,17513
40.77,-73.955,17490
40.768,-73.964,17472
40.771,-73.966,17460
40.761,-73.986,17453
40.785,-73.969,17450
40.735,-73.988,17444
40.75,-73.994,17414
40.76,-73.982,17393
40.759,-73.98,17391
40.76,-73.962,17388
40.743,-73.988,17386
40.756,-73.978,17369
40.739,-73.984,17360
40.739,-74,17356
40.78,-73.959,17350
40.784,-73.954,17349
40.778,-73.949,17343
40.74,-73.985,17331
40.745,-73.999,17327
40.777,-73.962,17323
40.785,-73.977,17313
40.75,-73.99,17311
40.753,-73.996,17307
40.779,-73.956,17258
40.744,-73.981,17239
40.76,-73.986,17237
40.747,-73.994,17190
40.767,-73.99,17186
40.705,-74.008,17180
40.716,-74.013,17169
40.766,-73.972,17168
40.805,-73.966,17140
40.757,-73.971,17131
40.763,-73.989,17114
40.717,-74.008,17100
40.744,-73.973,17097
40.774,-73.952,17093
40.78,-73.982,17089
40.726,-74.001,17074
40.74,-74.003,17051
40.733,-73.994,17005
40.758,-73.979,16974
40.748,-73.977,16968
40.746,-74.001,16964
40.739,-74.003,16952
40.738,-74.004,16948
40.728,-74.003,16941
40.755,-73.983,16910
40.745,-73.978,16889
40.757,-73.979,16812
40.778,-73.954,16799
40.747,-73.979,16787
40.729,-73.99,16779
40.732,-73.982,16771
40.763,-73.977,16763
40.745,-73.998,16738
40.743,-74.007,16720
40.769,-73.952,16706
40.767,-73.962,16700
40.753,-74.004,16692
40.756,-74.003,16686
40.759,-73.966,16685
40.774,-73.949,16685
40.746,-73.986,16680
40.715,-74.016,16647
40.736,-74.006,16590
40.73,-74.005,16572
40.727,-73.994,16565
40.729,-73.985,16565
40.737,-73.991,16541
