latitude,longitude,count
40.752,-73.993,47649
40.765,-73.966,47619
40.769,-73.985,47399
40.749,-73.989,47138
40.742,-73.985,46673
40.745,-73.976,46539
40.752,-73.975,46358
40.742,-74.005,46014
40.763,-73.978,45984
40.764,-73.974,45969
40.761,-73.961,45784
40.772,-73.983,45411
40.742,-73.981,45403
40.778,-73.982,44971
40.742,-73.975,44800
40.721,-74.01,44625
40.749,-73.976,44506
40.781,-73.981,44250
40.647,-73.79,44125
40.733,-73.987,44066
40.731,-73.989,44003
40.772,-73.959,43808
40.764,-73.981,43774
40.774,-73.96,43649
40.75,-73.988,43627
40.765,-73.988,43393
40.731,-74.001,43340
40.738,-73.992,43315
40.762,-73.975,43271
40.757,-73.986,42586
40.741,-73.986,42568
40.76,-73.976,42386
40.742,-73.994,42338
40.746,-73.982,42286
40.76,-73.985,42050
40.73,-74.002,42041
40.737,-73.993,41717
40.76,-73.988,41650
40.758,-73.971,41576
40.74,-73.987,41379
40.764,-73.971,41291
40.721,-73.994,41184
40.753,-73.973,41167
40.76,-73.972,41154
40.741,-74.006,40936
40.76,-73.984,40731
40.772,-73.956,40700
40.747,-73.99,40665
40.768,-73.956,40653
40.76,-73.995,40574
40.744,-73.996,40503
40.758,-73.986,40464
40.731,-73.983,40437
40.753,-73.979,40398
40.76,-73.965,40372
40.771,-73.957,40116
40.775,-73.963,40090
40.763,-73.97,40078
40.725,-73.992,40007
40.755,-73.968,39955
40.748,-73.993,39719
40.745,-73.979,39714
40.751,-73.974,39667
40.753,-73.97,39658
40.768,-73.962,39555
40.727,-73.992,39503
40.723,-73.988,39362
40.733,-74.003,39355
40.742,-73.997,39354
40.75,-73.972,39300
40.78,-73.956,39244
40.759,-73.973,39098
40.778,-73.952,39063
40.777,-73.979,39044
40.733,-74.006,39036
40.754,-73.969,38975
40.762,-73.983,38834
40.759,-73.977,38834
40.763,-73.979,38690
40.751,-73.987,38587
40.772,-73.953,38553
40.765,-73.981,38497
40.727,-74,38447
40.763,-73.983,38362
40.725,-73.995,38289
40.761,-73.983,38197
40.756,-73.983,38191
40.758,-73.966,38167
40.732,-73.988,38142
40.765,-73.98,37980
40.764,-73.985,37971
40.756,-73.971,37955
40.729,-73.987,37920
40.719,-73.989,37915
40.743,-74,37879
40.74,-73.986,37783
40.742,-74.001,37763
40.804,-73.967,37670
40.761,-73.991,37569
40.764,-73.977,37352
40.727,-73.986,37350
40.742,-73.993,37281
40.761,-73.999,37278
40.761,-73.984,37213
40.753,-73.993,37173
40.738,-73.984,37141
40.734,-74.006,37099
40.719,-73.99,37086
40.766,-73.98,36768
40.738,-73.981,36735
40.759,-73.989,36686
40.773,-73.885,36559
40.715,-74.016,36323
40.736,-73.998,36307
40.745,-73.999,36298
40.726,-74.004,36187
40.722,-73.989,36132
40.767,-73.983,36107
40.774,-73.981,36093
40.783,-73.953,36077
40.757,-73.97,35956
40.743,-73.984,35953
40.769,-73.961,35865
40.762,-73.96,35758
40.742,-73.978,35646
40.745,-73.985,35520
40.744,-73.988,35474
40.764,-73.954,35462
40.759,-73.992,35428
40.762,-73.982,35417
40.735,-73.986,35378
40.745,-73.981,35344
40.754,-73.978,35267
40.768,-73.964,35210
40.766,-73.983,35206
40.747,-73.986,35163
40.764,-73.969,35106
40.78,-73.955,35094
40.721,-73.998,35093
40.747,-73.994,35067
40.751,-73.975,34962
40.744,-73.986,34927
40.741,-74.002,34718
40.75,-73.979,34698
40.758,-73.982,34667
40.765,-73.964,34630
40.755,-73.98,34592
40.784,-73.98,34491
40.75,-74.003,34464
40.73,-73.99,34303
40.72,-73.988,34270
40.723,-73.989,34210
40.745,-73.983,34195
40.744,-73.973,34043
40.741,-73.998,33971
40.756,-73.979,33887
40.755,-73.971,33869
40.738,-74.004,33832
40.74,-73.991,33741
40.746,-73.98,33711
40.761,-73.975,33709
40.776,-73.956,33704
40.756,-73.977,33701
40.753,-73.975,33675
40.752,-73.99,33634
40.722,-74.004,33624
40.774,-73.964,33541
40.725,-73.996,33430
40.772,-73.961,33408
40.781,-73.98,33402
40.754,-73.992,33349
40.786,-73.951,33346
40.773,-73.955,33311
